#Timestamp Index Source_Key Target_Key Source_Xmin Source_Xmax Source_Ymin Source_Ymax Target_Xmin Target_Xmax Target_Ymin Target_Ymax IoU totalscore matchlabel isWithinImage isInFront
42.699999998 855 8286623314361712642 8142508126285856827 165.865066528 197.454818726 376.523712158 414.160064697 213.187641404 240.828474803 336.527441297 367.791434560 0.000000000 0.612692930 4 1 1
42.699999998 855 8286623314361712643 8142508126285856827 194.975875854 222.632888794 348.886047363 379.526611328 213.187641404 240.828474803 336.527441297 367.791434560 0.116479681 0.687131368 5 1 1
42.699999998 855 8286623314361712645 8142508126285856837 358.200134277 538.037048340 293.795837402 416.197143555 383.801670998 566.480576218 290.987864817 400.847284991 0.645718525 0.732830803 4 1 1
42.699999998 855 8286623314361712646 8142508126285856883 216.624252319 243.502975464 417.550598145 441.649536133 235.987311928 281.890666730 383.590613041 423.397738229 0.018076354 0.342782519 5 1 1
42.699999998 855 8286623314361712647 8142508126285856825 394.395538330 493.541961670 256.627288818 332.677825928 426.042537089 488.585159702 238.362961968 331.178925828 0.537021409 0.825676136 4 1 1
42.749999999 856 8286623314361712640 8142508126285856883 204.554534912 269.721710205 368.910980225 424.529022217 234.644436961 280.322094967 367.546288488 406.774743651 0.324877703 0.720443797 5 1 1
42.749999999 856 8286623314361712641 8142508126285856830 247.408142090 317.329040527 301.186920166 383.383636475 272.181179785 329.561633544 297.046082285 369.199618978 0.450447197 0.207848219 4 1 1
42.749999999 856 8286623314361712642 8142508126285856827 164.903381348 196.555114746 360.070983887 397.604248047 212.104777980 239.588458042 320.687770251 351.768319529 0.000000000 0.407948915 4 1 1
42.749999999 856 8286623314361712643 8142508126285856827 194.057876587 221.695022583 332.213623047 363.101806641 212.104777980 239.588458042 320.687770251 351.768319529 0.123350675 0.502781592 4 1 1
42.749999999 856 8286623314361712648 8142508126285856883 215.338577271 242.120376587 400.283538818 424.453338623 234.644436961 280.322094967 367.546288488 406.774743651 0.020299048 0.321749336 5 1 1
